informal,formal
malming,malam minggu
malu2in,malu
mama,ibu
mamah,ibu
mampos,mati
mampus,mati
man,laki-laki
mananya,mana
manas,panas
manasin,panas
mande,ibu
mane,mana
manfaatin,manfaat
manfaatnya,manfaat
manggil,panggil
mangkanya,maka
manis,manis
manly,laki-laki
mannnlly,laki-laki
mantap,bagus
mantep,bagus
mantul,bagus
manwha,komik
marahan,marah
marahin,marah
marathon,maraton
maretabak,martabak
mari,ayo
marketing,pasar
mas,kakak
masalahnya,masalah
masang,pasang
masgem,kakak gem
masi,masih
masing2,masing
masnya,kakak
masok,masuk
master,tuan
masuk2,masuk
masukan,masuk
masukin,masuk
mataku,mata
matamu,mata
matanya,mata
match,cocok
matiin,mati
matti,mati
mau,ingin
maunya,ingin
may,boleh
mayad,mayat
mayan,lumayan
mba,kakak
mbaaaak,kakak
mbae,kakak
mbahas,bahas
mbak,kakak
me,saya
meanan,main
mecahin,pecah
med,media
meek,berengsek
megang,pegang
mek,berengsek
melakukan,lakukan
meledak,ledak
melers2,meler
melihat,lihat
melihata,lihat
melucu,lucu
memanjang,panjang
memberkatimu,berkat
membingungkan,bingung
membuat,buat
memew,berengsek
memihak,pihak
memikirkan,pikir
memilih,pilih
mempermasalahkan,masalah
men,laki-laki
menahan,tahan
menangis,tangis
menari,tari
menarik,tarik
mencari,cari
mencerna,cerna
mencium,cium
mendatang,datang
mendengar,dengar
mendingan,mending
mendunia,dunia
menengah,tengah
menerangi,terang
mengancam,ancam
mengatasi,atas
mengbuset,kaget
mengeras,keras
mengesedih,sedih
menggema,gema
menggunakan,guna
menghadapi,hadap
menghadeh,aduh
menghasilkan,hasil
menghentikan,henti
menghilang,hilang
menghilangkan,hilang
menghina,hina
mengingatkan,ingat
menginvasi,invasi
mengjanjikan,janji
mengoleksi,koleksi
mengpiso,pisau
mengsad,sedih
mengsedih,sedih
meniggal,mati
meninggaaall,mati
meninggal,mati
menjadi,jadi
menjauh,jauh
menonton,tonton
mentalnya,mental
mentang2,mentang
menular,tular
menunggu,tunggu
menurt,turut
menurun,turun
menurut,turut
menurutlu,turut
menurutmu,turut
menyerah,serah
menyerang,serang
menyusahkan,susah
mepet,sempit
meq,berengsek
meqq,berengsek
merasa,rasa
merealisasikannya,wujud
meskipun,meski
mesti,harus
metavers,metaverse
mew,berengsek
meyakinkan,yakin
mh,mah
mhs,mahasiswa
mi,saya
mic,mikrofon
mid,tengah
mikir,pikir
miner,tambang
miners,tambang
minjem,pinjam
minuman,minum
minute,menit
miroring,kaca
mista,tuan
mister,tuan
mix,gabung
mlu,terus
mnurut,menurut
mo,mau
mobilnya,mobil
mod,modifikasi
modelannya,model
modny,modifikasi
modnya,modifikasi
modus,modal bohong
moho,homo
moment,momen
mon,mohon
monday,senin
moon,bulan
more,lebih
morning,pagi
mortal,fana
moshi,halo
motion,gerak
mottonya,moto
mouse,tetikus
move,gerak
movie,film
movie12,film 12
movienya,film
mr,tuan
msk,masuk
mu,kamu
muji,puji
mukanya,muka
mukul,pukul
mulailah,mulai
mulainya,mulai
mulao,mulai
mulau,mulai
mulu,terus
munculnya,muncul
munyuk,berengsek
musti,pasti
musuhnya,musuh
muter,putar
my,saya
myself,saya
na,nah
naaah,nah
nabrak,tabrak
nabung,tabung
naek,naik
nagih,tagih
nahan,tahan
naikin,naik
nak,anak
nakaaaaaaal,nakal
nakcal,nakal
naked,telanjang
namain,nama
namanya,nama
namanye,nama
namatin,tamat
nambah,tambah
nambahin,tambah
name,nama
nampar,pukul
nangis,tangis
nanya,tanya
nanyain,tanya
napa,kenapa
napas,nafas
narkoboy,narkoba
naruhoddo,oh
naruhodo,oh
nasehat,nasihat
nasgor,nasi goreng
nawar,negosiasi
nayangin,tayang
ncuk,berengsek
nd,tidak
ndaftar,daftar
ndak,tidak
ne,kan
nech,kan
need,butuh
negatip,negatif
neh,ini
nembak,tembak
nembaknya,tembak
nempel,tempel
nenek2,nenek
neplik,netflix
nerakah,neraka
nerjain,kerja
never,tidak pernah
next,lanjut
nga,tidak
ngab,teman
ngaci,benar
ngaco,sembarang
ngadepin,hadap
ngajak,ajak
ngajarin,ajar
ngajuin,aju
ngak,tidak
ngakaaang,ketawa
ngakak,ketawa
ngaku,akui
ngalah,kalaj
ngalamin,alami
ngalangin,halang
ngambang,ambang
ngambek,kecewa
ngamok,marah
ngamuk,marah
ngancem,ancam
nganggur,menganggur
ngapa,apa
ngapain,apa
ngapainn,apa
ngape,apa
ngaruh,pengaruh
ngawur,sembarang
nge,lakukan
ngebahas,bahas
ngebaut,baut
ngebug,salah
ngebym,gym
ngecarry,angkat
ngecast,siar
ngecek,cek
ngecit,curang
ngeclip,klip
ngedeket,dekat
ngeflash,kilat
ngegas,gas
ngegym,gym
ngeh,mengerti
ngeharem,harem
ngeheal,sembuh
ngehina,hina
ngejoke,lucu
ngejokes,lucu
ngelag,lambat
ngelak,hindar
ngelawak,lucu
ngelawan,lawan
ngeleg,lambat
ngeliat,lihat
ngeliatnya,lihat
ngelucu,lucu
ngelurusinnya,lurus
ngembang,mengembang
ngepel,pel
ngeramein,ramai
ngerjain,kerja
ngeroshan,roshan
ngerti,erti
ngeselin,kesal
ngeshare,bagi
ngesimp,idola
ngestuck,sangkut
ngesync,sinkron
ngetik,ketik
ngetroll,iseng
ngga,tidak
nggak,tidak
nggk,tidak
ngidde,iseng
ngide,iseng
ngide2,iseng
ngideh,iseng
ngie,iseng
ngikut,ikut
ngilang,hilang
ngilangin,hilang
ngilu,nyeri
ngiri,iri
ngiwi,bersetubuh
ngk,tidak
ngo,bilang
ngobrol,bilang
ngobrolnya,bilang
ngocok,kocok
ngomong,bilang
ngomongin,bilang
ngomongnya,bilang
ngompol,kencing
ngopi,kopi
ngotak,pikir
nguap,uap
ngukur,ukur
ngulang,ulang
ngumpul,kumpul
ngurus,urus
ngurusin,urus
ngutang,utang
nhohhh,lah
ni,ini
niatnya,niat
nice,bagus
nich,ini
nigga,negro
night,malam
nightclub,klub malam
nih,ini
niih,ini
nikah,kawin
nikahan,kawin
nikahnya,kawin
nikmat,enak
nikmati,enak
nikmatin,enak
nikung,tikung
ninggal,tinggal
ninggalin,tinggal
ninju,tinju
niw,ini
njawab,jawab
njay,anjing
njing,anjing
njiing,anjing
njir,anjing
nntn,tonton
no,tidak
nobar,tonton bareng
nogmong,bilang
noice,bagus
nois,bagus
noise,bagus
nolak,tolak
nongkrong,kumpul
nongol,muncul
nonton,tonton
nonton2,tonton
nontonin,tonton
nontonnya,tonton
noob,pemula
no,tidak
noooooooooooooo],tidak
noos,nitro
not,tidak
notif,notifikasi
notip,notifikasi
notulensi,nota
now,sekarang
npc,karakter
nt,kerja bagus
ntar,nanti
ntet,berengsek
ntnn,tonton
ntnt,kerja bagus
nugas,tugas
nuke,nuklir
nulis,tulis
nunda,tunda
nunggu,tunggu
nungguin,tunggu
nunjuk,tunjuk
nurunin,turut
nut,kacang
ny,nya
nyak,nya
nyambung,sambung
nyampe,sampai
nyampur,campur
nyari,cari
nyarik,cari
nyaris,hampir
nyasar,sasar
nyebut,sebut
nyeee,nya
nyemil,makan
nyentuh,sentuh
nyepam,spam
nyerang,serang
nyeri,sakit
nyetir,setir
nyiarin,siar
nying,anjing
nyium,cium
nyoba,coba
nyobain,coba
nyogok,sogok
nyoh,ini
nyolong,maling
nyoooh,ini
nyumpahin,sumpah
nyusahin,susah
nyusul,susul
obatnya,obat
obesitas,gendut
obsnya,obs
odgj,gila
of,dari
offline,luring
ogah,tidak mau
ohiya,oh iya
oi,woi
okeh,oke
om2,om
omdo,bilang doang
omelin,bilang
omg,ya tuhan
omnya,om
omom,om om
omongan,bilang
omongannya,bilang
on,hidup
onde,ya ampun
one,satu
onlen,daring
online,daring
ooh,oh
ooof,of
oooh,oh
oot,luar topik
open,buka
opening,buka
optical,optik
or,atau
orag,orang
orang2,orang
orangnya,orang
orderan,pesan
org,orang
organization,organisasi
orgnya,orang
orgy,gila
orocji,orochi
ortu,orang tua
otak,Orientasi Studi dan Pengenalan Kampus
otaknya,otak
out,keluar
over,terlalu
overkill,terlalu bunuh
overthinking,terlalu pikir
owalah,oalah
owh,oh
oya,oh iya
pa,apa
paan,apa
pacaran,pacar
pacarin,pacar
pacarmu,pacar
pacarnya,pacar
pack,kemas
padahal,pada
pak,ayah
pake,pakai
pakek,pakai
paksain,paksa
pala,kepala
palingan,paling
pamk,ayah
pan,kapan
pandal,vandal
pandangan,pandang
pani,panik
panic,panik
panicck,panik
panjanga,panjang
pantek,berengsek
pantes,pantas
papa,ayah
paraah,parah
paradox,paradoks
parh,parah
part,bagian
password,kata sandi
pastilah,pasti
pasto,pasti
pasword,kata sandi
patah2,patah
patain,patah
patrik,patrick
pc,pesan
pdkt,dekat
pecaaah,pacah
pee,kencing
pegag,pegang
pegalaman,alami
pegn,ingin
pejantan,laki-laki
pelampiasan,lampias
pelawak,lawak
pemaksaan,paksa
pembahasan,bahas
pembahasanya,bahas
pembelaan,bela
pembiasaan,biasa
pembukaan,buka
pemuas,puas
pemuja,puja
pen,ingin
pencibir,bilang
pendengaran,dengar
pendidikan,didik
pending,tunda
penduduk,orang
penect,tekan
penelitian,teliti
pengajian,ngaji
pengalaman,alami
pengancaman,ancam
pengen,ingin
penggemar,gemar
penghapusan,hapus
penikmat,enak
penilaian,nilai
peningkatan,tingkat
penjilat,jilat
penjual,jual
penolakan,tolak
penonton,tonton
penyakitan,sakit
penyebar,sebar
pepet,dekat
perampokkan,maling
perasaan,rasa
perbandingannya,banding
perbanyak,banyak
percobaan,coba
percuma,cuma
perfilman,film
pergaulan,gaul
pergaulannya,gaul
perjudian,judi
perkembangan,kembang
perkumpulan,kumpul
persahabatan,teman
persetan,tidak peduli
pertanyaan,tanya
pertemanan,teman
perutnya,perut
perv,mesum
pg,pagi
pgn,ingin
phasmo,phasmophobia
philipina,filipina
philipine,filipina
photo,foto
pidio,video
pijet,pijat
pikiran,pikir
pilihannya,pilih
pingnya,ping
pinjol,pinjam daring
pinter,pintar
pirate,bajak laut
pke,pakai
plaaant,tanam
place,letak
plan,pelan
plangton,plankton
plant,tanam
plasnt,tanam
play,main
playboy,berengsek
player,main
playstoer,playstore
playstylenya,gaya main
pleace,tolong
please,tolong
pleying,main
plis,tolong
plot,rencana
pls,tolong
po,apa
podast,siniar
podcast,siniar
podcst,siniar
podo,bodoh
pojokan,pojok
pokeb,film dewasa
polantas,polisi lalu lintas
poor,sedih
popato,kentang
popcastnya,siniar
porh,film dewasa
pork,babi
porn,film dewasa
pornza,film dewasa
port,gerbang
porter,gerbang
positive,positif
potato,kentang
potkes,siniar
pox,rubah
pp,foto
prediksinya,prediksi
presiksi,prediksi
pressure,tekan
prevet,mesum
prewed,menikah
pria,laki-laki
pro,profesi
problem,masalah
processornya,prosesor
production,produk
project,proyek
projektor,proyek
proker,kerja
prosesnya,proses
prosi,proksi
pruti,fruittea
ps,playstation
ps1,playstation
ps3,playstation
ps4,playstation
ps5,playstation
psikiater,psikis
psvita,playstation
pukulin,pukul
pulak,pula
pulici,polisi
punggungnya,panggung
punyanya,punya
pura2,pura
pure,suci
push,dorong
put,letak
putao,putau
puter,putar
putingnya,puting
puuun,pun
q,saya
qaqa,kakak
qna,tanya
quotes,kutip
qutunya,kutu
r,adalah
raccon,rakun
raccoon,rakun
race,balap
racist,rasis
racoon,rakun
racooncity,kota rakun
rada,agak
rada2,agak
rafatar,rafathar
rainbow,pelangi
ramalan,ramal
rame,ramai
rame2,ramai
rampok,maling
random,acak
rank,peringkat
rassul,rasul
rata2,rata
rated,peringkat
ravi,rafi
re,resident evil
re2,resident evil
re4,resident evil
react,reaksi
reaction,reaksi
ready,siap
real,nyata
realistis,nyata
really,sungguh
rebahan,tidur
rebanaan,tidur
rebu,rabu
rebuild,bangun ulang
recommend,rekomendasi
record,rekam
rectangle,kotak
red,merah
reeboot,ulang
refresh,segar
region,wilayah
rekom,rekomendasi
rekomen,rekomendasi
relate,hubungan
releasenya,rilis
remake,buat ualng
remastered,remaster
remember,ingat
rendem,rendam
replay,main ulang
report,lapor
reproduksi,produksi
reset,ulang
respect,hormat
respond,tanggapan
respondinf,tanggapan
responding,tanggapan
restart,ulang
restream,ulang siaran
return,kembali
review,tinjau
rewind,putar ulang
rex,raja
ribet,susah
ricuh,rusuh
right,benar
rilisnya,rilis
ringan2,ringan
rip,mati
rise,bangkit
rmh,rumah
rn,sekarang
roasting,panggang
rock,batu
role,peran
roll,putar
romusha,kerja paksa
room,ruang
rosak,rusak
round,babak
routernya,router
rp,mati
rto,lambat
ruangannya,ruang
ruginya,rugi
ruin,hancur
rumahindi,rumah
rumahnya,rumah
rumpi,merumpi
rusaaaaaaak,rusak
rusaaaaak,rusak
rusaaaak,rusak
rush,serbu
rusyak,rusak
ruuun,lari
saalh,salah
sad,sedih
sadja,saja
sagean,mesum
sagne,mesum
saha,siapa
sahabat,teman
sahabatnya,teman
saia,saya
said,bilang
sakitpunggung,sakit punggung
salahin,salah
sali,saling
samaan,sama
samanya],sama
sampe,sampai
sampek,sampai
sange,nafsu
sarcastic,sarikas
sat,berengsek
satunya,satu
sawadikap,bersetubuh
saweriany,saweria
sawerianya,saweria
sayangnya,sayang
sbelah,sebelah
scan,pindai
scene,adegan
school,sekolah
screamin,teriak
screen,layar
script,naskah
scroll,gulung
se7,setuju
search,cari
season,musim
sebaik,baik
sebenarnya,benar
sebenci,benci
sebenernya,benar
sebenrnya,benar
sebentar,bentar
sebesar,besar
sebutin,sebut
second,kedua
secret,rahasia
sedagu,sampai dagu
sedangkan,sedang
sedap,enak
sedigh,sedih
seenak,enak
seenaknya,enak
seetaaan,setan
segini,gini
seh,sih
seharga,harga
sehari,hari
sejack,sejak
sejam,ja
sekalai,sekali
sekalian,sekali
sekalinya,sekali
sekeluarga,keluarga
seketika,ketika
sekian,kian
sekilo,kilo
sekolahlah,sekolah
sekomplek,komplek
sekuat,kuat
selamatin,selamat
selebihnya,lebih
self,sendiri
selow,santai
seminggu,minggu
semuanya,semua
semudah,mudah
senasib,nasib
sendirei,sendiri
sendiri2,sendiri
sendirian,sendiri
seneng,senang
senjatanya,senjata
sentil,pukul
sentolooop,sentolop
sentolopbest,sentolop
sentoloper,sentolop
sentolopers,sentolop
sentoloph,sentolop
sentoloppp,sentolop
senyumnya,senyum
seorang,orang
sepertinya,seperti
sepidol,spidol
septictank,septic tank
serah,terserah
serect,pilih
serem,seram
seriiiiing,sering
seringnya,sering
seris,serius
servisnya,servis
sesaaat,sesat
sesad,sesat
SESATTTTTT,sesat
sesay,sesat
seseorang,orang
seson,musim
sesuatu,suatu
setahun,tahun
setelah,telah
setelan,setel
setengah,tengah
seterah,terserah
setidaknya,tidak
setolopers,sentolop
setori,cerita
setting,setel
settingan,setel
settingannya,setel
seven,tujuh
share,bagi
shield,perisai
shift,geser
shiro,putih
shoot,tembak
shooting,tembak
short,pendek
shotgun,tembak
show,tampil
siapa2,siapa
siapatuh,siapa itu
siapkan,siapa
sich,sih
sickness,sakit
side,sudut
siih,sih
sij,sih
silver,perak
simp,idola
simulation,simulasi
simulator,simulasi
single,lajang
sins,dosa
sipuden,shippuden
sir,tuan
sircel,lingkaran
sirkel,lingkaran
sirkle,lingkaran
sisanya,sisa
sispek,otot
sister,kakak
sisternya,kakak
sit,duduk
site,lokasi
sketbod,papan luncur
skin,kulit
skinnya,kulit
skip,lewat
skip2,lewat
skirpsi,skripsi
skola,sekolah
skolah,sekolah
skrg,sekarang
skri,skripsi
skrng,sekarang
slalu,selalu
sleding,luncur
slepet,pukul
sm,sama
sma,sama
smester,semester
smooothh,mulus
smooth,mulus
smpe,sampai
smua,semua
snake,ular
snap,tangkap
snep,tangkap
snipe,tembak
sniper,tembak
snipernya,tembak
sniping,tembak
snjatanya,senjata
so,jadi
soalny,soal
soalnya,soal
social,sosial
solusinya,solusi
some,beberapa
someone,orang
something,beberapa
sopiiler,bocor
sorry,maaf
sosmed,sosial media
sotau,sok tahu
sotrynya,cerita
sound,suara
soundtrack,suara
spamer,spam
speaker,suara
speedrun,berlari cepat
spider,laba laba
spiderman,laba laba
spike,duri
spill,tumpah
spirit,jiwa
spiteng,septic tank
spngebob,spongebob
spoiler,bocor
squidwerd,squidward
ssambil,dengan
standing,berdiri
stands,berdiri
star,bintang
stay,tinggal
step,langkah
stepbro,kakak
stepsister,kakak
stike,serang
stiker,serang
still,tetap
stop,henti
store,pasar
stories,cerita
story,cerita
storynya,cerita
streamer,stream
streaming,stream
stress,stres
stressnya,stres
stresss,stres
stuck,jebak
su,anjing
suaranya,suara
suars,suara
subathonnya,subathon
subkreber,ikut
subs,ikut
subscribe,ikut
subscriber,ikut
subscribers,ikut
sudahi,sudah
sudh,sudah
suffer,derita
sukaan,suka
sukanya,suka
summertime,waktu musim panas
sun,matahari
support,penyokong
supression,redam
suqma,jiwa
suraranya,suara
sure,tentu
surrender,serah
suruhan,suruh
sus,sangka
suspect,sangka
suss,sangka
sutrada,sutradara
suu,anjing
sw,anjing
swab,tukar
swe,manis
switch,ganti
sya,saya
syedih,sedih
syuting,tembak
t3r53r4h,terserah
tabk,pukul
tabok,pukul
taboo,tabu
tadikan,tadi
tahiland,thailand
tahiq,tahi
tahiqque,tahi
tai,tahi
taik,tahi
tainy,tahi
tainya,tahi
tak,tidak
takes,ambil
takol,takut
takutnya,takut
tales,cerita
tamatan,tamat
tambahan,tambah
tampa,tidak pakai
tampar,pukul
tampilin,tampil
tampol,pukul
tampr,pukul
tamvan,ganteng
tamvar,pukul
tandanya,tanda
tanganwkkwkw,tangan [ketawa]
tanggapan,tanggap
tanpa,tidak pakai
tar,nanti
taro,letak
taroh,letak
taruh,letak
tau,tahu
taum,tahun
taun,tahun
taunya,tahu
tchi,cih
tdi,tadi
tdkn,tidak
tdr,tidur
team,tim
tebakanya,tebak
tekanan,tekan
tek,tanda
teknical,teknik
teletabis,teletubbies
teletubles,teletubbies
telor,telur
telpon,telepon
temanya,tema
temen,teman
temennya,teman
tempeleng,pukul
tepok,pukul
terangan,terang
terbaik,baik
terbaks,baik
terbantai,bantai
terbaru,baru
terbawa,bawa
terbesar,besar
terbukti,bukti
terburuk,buruk
tercarry,angkat
tercerahkan,cerah
tergantung,gantung
terharambe,haram
terhipnotis,hinotis
teriakan,teriak
teriakkan,teriak
terimakasih,terima kasih
terjangkit,jangkit
terjerumus,jerumus
terlalu,lalu
terlupakan,lupa
termasuk,masuk
ternyata,nyata
terputing,puting
terselubung,selubung
tersesat,sesat
tersindir,sindir
tersingkir,singkir
tertawa,tawa
tertikung,tikung
teru,terus
terua,terus
teruuus,terus
teryma,terima
test,tes
tetep,tetap
tewas,mati
tewasnya,mati
thai,thailand
than,dari
thank,terima kasih
that,itu
thats,itu
them,mereka
thingking,pikir
think,pikir
thinking,pikir
this,ini
thn,tahun
though,meski
thumbnail,gambar
tiati,hati hati
tiaty,hati hati
tiba2,tiba
tidaaaaaak,tidak
tidack,tidak
tidaknya,tidak
tiduran,tidur
tidurnya,tidur
tier,peringkat
tiktoker,tiktok
time,waktu
timetravel,jelajah waktu
timnas,tim nasional
tinggaliiin,tinggal
titlenya,gelar
tll,bodoh
tmen,teman
tmn,teman
to,ke
tol,bodoh
tolol,bodoh
tolonglah,tolong
tomp,tomb
tongkrongan,kumpul
tontonan,tonton
torpedonya,torpedo
towewew,besar
toxic,racun
tp,tapi
tpi,tapi
trademark,merek dagang
transfer,tukar
trend,tren
trgantikan,ganti
triangle,segitiga
tricky,trik
tried,coba
trilogy,trilogi
triple,tripel
tros,terus
trs,terus
truksi,instruksi
trus,terus
try,coba
tryhard,coba
tsundere,malu
tt,payudara
ttp,tetap
tu,itu
tub,bak
tubles,tidak pakai ban dalam
tuch,itu
tuh,itu
tuhi,tahi
tuhkannn,itu kan
tulung,tolong
tuman,biasa
tumben,tidak biasa
tuollol,bodoh
turn,belok
turu,turun
turunin,turun
turunn,turun
tusbol,tusuk
tutorial,ajar
tutoriyal,ajar
tuuuch,itu
twenty,dua puluh
twicth,twitch
twist,putar
twit,twitter
two,dua
ty,terima kasih
ty2,terima kasih
tydac,tidak
tydak,tidak
type,tipe
u,kamu
uas,ujian
uaslah,ujian
ubana,uban
ubanan,uban
ubannya,uban
ucapin,bilang
udah,sudah
udahaan,sudah
udahan,sudah
udahin,sudah
udahlah,sudah
udh,sudah
udqh,sudah
uga,juga
uhuy,uhuk
ujan,hujan
ujian,uji
ulangan,uji
ulekan,ulek
uler,ular
ultinya,ultimate
umr,gaji
un,uji
undangan,undang
undangannya,undang
underated,nilai
understable,erti
understand,erti
unggaas,unggas
ungkapkan,ungkap
unrated,nilai
untungnya,untung
up,naik
update,baru
upgrade,baru
upload,unggah
uplod,unggah
urusan,urus
urusannya,urus
us,kita
usahlah,perlu
usai,selesai
usbn,uji
useles,tidak guna
useless,tidak guna
ustad,guru
ustadz,guru
utak,otak
utik,otak
uuuuh,uh
uuuuuu,uh
uy,woi
vaanng,kakak
valo,valorant
valoran,valorant
vang,kakak
vangsat,berengsek
vibesny,atmosfer
viewers,tonton
vitubyang,begitu yang
vlog,video blog
voice,suara
vois,suara
vokep,film dewasa
vr,virtual
vtuber,virtual youtube
vuting,puting
vutink,puting
w,saya
wa,whatsapp
wad000,aduh
wadau,aduh
wadehek,apa itu
wadoh,aduh
wado,aduh
wadooh,aduh
waduch,aduh
waduh,aduh
waduu,aduh
waduuuh,aduh
wae,saja
wahai,hai
wai,tunggu
wait,tunggu
wajarnya,wajar
walaupun,walau
walkthrough,jalan cerita
wall,tembok
wallbang,tembak tembok
wangy,wangi
wanjir,anjing
war,perang
warasnya,waras
waria,banci
warnanya,warna
warrior,juang
warriors,juang
warrios,juang
warteg,warung
wat,apa
watashi,saya
way,jalan
wayolo,ayo lah
wduh,aduh
we,kita
weapon,senjata
web,jaring
webcam,jaring kamera
wedia,media
weh,wah
wei,woi
welcome,selamat datang
wele,aduh
weleh,aduh
well,baik
wellcome,selamat datang
were,adalah
wew,wow
wey,woi
wgwgwgw,[ketawa]
whaaat,apa
what,apa
whatapp,whatsapp
whatr,apa
when,kapan
where,mana
who,siapa
whut,apa
why,kenapa
wicis,yang mana
wih,wah
wiiih,wah
windows,jendela
wit,dengan
with,dengan
withcer,witcher
wo,woi
wo3,woi
woakqoqooq,[ketawa]
woe,woi
word,kata
world,dunia
worth,nilai
woy,woi
wrong,salah
wtf,apa
wuaduh,aduh
xiang,siang
yaah,yah
yadeeehh,iya deh
yaduch,aduh
yaduh,aduh
yaelah,aduh
yaelahh,aduh
yak,iya
yakan,iya kan
yakk,iya
yamete,henti
yameteh,henti
yaudah,ya sudah
yay,iya
yayy,iya
ye,iya
yeah,iya
yekann,iya kan
yes,iya
yey,iya
yg,yang
yng,yang
yo,iya
yok,ayo
youtubeny,youtube
youtuber,youtube
youtubers,youtube
yrug,homo
ytber,youtube
yuk,ayo
yutchuber,youtube
yutub,youtube
yutube,youtube
yutuber,youtube
zodiac,zodiak
zoom,besar
